IP,LAST_CHECK_TIME,SPEED,POSITION,TYPE,PORT
27.159.125.221,27天,0.409,福建莆田,HTTP,8118
113.69.254.107,8小时,0.52,广东佛山,HTTPS,808
171.38.143.157,1小时,4.594,广西钦州,HTTPS,8123
171.38.135.66,1分钟,5.457,广西钦州,HTTPS,8123
60.178.86.25,53分钟,1.347,浙江宁波,HTTPS,808
122.6.106.115,1分钟,0.287,山东日照,HTTPS,808
119.114.21.195,1分钟,0.672,辽宁鞍山,HTTPS,23632
113.69.36.215,1分钟,1.18,广东佛山,HTTP,808
114.230.98.142,1分钟,2.619,江苏扬州,HTTPS,808
115.220.3.241,7天,1.794,浙江宁波,HTTP,808
115.220.7.203,1分钟,3.747,浙江宁波,HTTP,808
171.13.37.154,3天,0.9,河南,HTTP,808
119.5.1.23,46天,0.245,四川南充,HTTP,808
115.213.239.3,1分钟,0.292,浙江丽水,HTTPS,808
114.230.104.24,1分钟,1.075,江苏扬州,HTTPS,808
182.88.91.17,19小时,7.215,广西南宁,HTTP,8123
114.239.148.24,1小时,3.112,江苏宿迁市泗阳县,HTTPS,808
183.153.15.172,1分钟,4.561,浙江台州,HTTP,808
182.89.180.162,45分钟,4.71,广西柳州,HTTPS,8123
121.61.102.67,1分钟,6.449,湖北咸宁,HTTP,808
171.39.3.228,9小时,0.314,广西百色,HTTPS,8123
182.42.18.52,1分钟,3.364,山东,HTTP,808
113.121.244.140,1分钟,1.499,山东德州,HTTPS,808
113.121.245.13,1分钟,1.748,山东德州,HTTPS,808
110.73.30.95,45分钟,3.776,广西防城港,HTTPS,8123
114.99.10.191,1小时,0.271,安徽安庆,HTTPS,808
36.249.27.192,1分钟,1.719,福建泉州,HTTPS,808
114.239.1.145,1分钟,4.301,江苏宿迁,HTTP,808
36.250.156.195,1分钟,0.986,福建,HTTPS,808
113.123.24.231,1分钟,0.539,山东青岛,HTTPS,808
171.13.37.189,26天,0.275,河南,HTTP,808
221.229.45.122,1分钟,7.375,江苏扬州,HTTPS,808
171.13.37.22,9小时,0.179,河南,HTTPS,808
60.166.66.39,10分钟,7.14,安徽合肥,HTTP,40316
121.238.245.166,6小时,0.171,江苏镇江,HTTPS,44584
115.213.228.128,1分钟,2.348,浙江丽水,HTTPS,808
36.249.31.165,3小时,4.924,福建泉州,HTTPS,808
119.134.113.24,3小时,0.216,广东茂名,HTTP,8118
113.121.241.84,28天,6.863,山东德州,HTTP,808
113.121.254.103,1小时,0.215,山东德州,HTTPS,808
221.229.46.84,7小时,0.208,江苏扬州,HTTPS,808
115.220.150.31,1分钟,0.203,浙江宁波,HTTPS,808
121.226.171.180,1分钟,0.231,江苏,HTTPS,808
110.73.53.184,419天,7.027,广西南宁,HTTP,8123
115.220.149.84,1小时,4.463,浙江宁波,HTTPS,808
117.60.49.216,1分钟,0.664,江苏连云港,HTTPS,808
123.169.90.166,1分钟,0.239,山东淄博,HTTPS,808
183.52.107.19,1分钟,0.491,广东,HTTP,32314
121.226.152.135,10分钟,0.319,江苏盐城,HTTPS,808
122.237.35.198,54分钟,5.032,浙江绍兴,HTTPS,808
183.19.195.43,34分钟,0.247,广东肇庆,HTTPS,41840
115.220.147.66,1分钟,0.161,浙江宁波,HTTPS,808
36.249.26.242,54分钟,0.492,福建泉州,HTTPS,808
110.73.51.133,2小时,0.644,广西南宁,HTTPS,8123
121.19.101.63,1小时,0.108,河北保定,HTTPS,12987
110.73.9.140,1天,2.197,广西防城港,HTTPS,8123
60.218.236.144,2小时,1.929,黑龙江双鸭山,HTTPS,37939
58.47.87.145,10分钟,2.036,湖南常德,HTTP,808
114.102.66.128,3小时,7.932,安徽马鞍山,HTTPS,24339
121.61.105.51,1分钟,0.184,湖北咸宁,HTTPS,808
123.10.245.18,57分钟,0.116,河南郑州,HTTPS,48865
115.46.96.60,49天,0.446,广西南宁,HTTP,9999
221.229.45.222,1分钟,0.225,江苏扬州,HTTPS,808
60.183.202.168,1分钟,2.038,浙江绍兴,HTTP,808
114.253.224.239,1分钟,5.83,北京,HTTPS,21153
110.16.235.34,41分钟,3.954,内蒙古包头,HTTP,46428
180.152.31.225,1小时,0.342,上海,HTTPS,50870
171.38.25.178,1小时,2.478,广西玉林,HTTP,8123
60.183.214.244,1分钟,1.431,浙江绍兴,HTTP,808
125.106.92.225,1分钟,6.064,浙江衢州,HTTPS,808
113.121.243.51,1小时,2.575,山东德州,HTTP,808
111.155.124.67,261天,4.965,北京,HTTP,8123
27.29.177.228,1分钟,0.299,湖北,HTTPS,808
171.13.37.47,20小时,1.023,河南,HTTPS,808
122.236.27.241,5分钟,0.529,浙江绍兴,HTTPS,23183
222.85.50.79,4小时,0.526,河南平顶山,HTTP,808
49.86.62.131,4天,3.42,江苏扬州,HTTP,808
171.37.170.233,3小时,1.875,广西,HTTP,8123
123.169.89.198,1分钟,3.07,山东淄博,HTTP,808
219.152.51.178,19分钟,0.378,重庆,HTTPS,28957
